,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
3208,13a_232,13a_232,K13a232,Fail,N/A,,
3209,13a_233,13a_233,K13a233,Success,N/A,,1
3210,13a_234,13a_234,K13a234,Success,N/A,,1
3211,13a_235,13a_235,K13a235,Success,N/A,,1
3212,13a_236,13a_236,K13a236,Fail,N/A,,
3213,13a_237,13a_237,K13a237,Fail,N/A,,
3214,13a_238,13a_238,K13a238,Success,N/A,,1
3215,13a_239,13a_239,K13a239,Success,N/A,,1
3216,13a_240,13a_240,K13a240,Success,N/A,,1
3217,13a_241,13a_241,K13a241,Success,N/A,,1
3218,13a_242,13a_242,K13a242,Fail,N/A,,
3219,13a_243,13a_243,K13a243,Success,N/A,,1
3220,13a_244,13a_244,K13a244,Fail,N/A,,
3221,13a_245,13a_245,K13a245,Fail,N/A,,
3222,13a_246,13a_246,K13a246,Success,N/A,,1
3223,13a_247,13a_247,K13a247,Fail,N/A,,
3224,13a_248,13a_248,K13a248,Success,N/A,,1
3225,13a_249,13a_249,K13a249,Success,N/A,,1
3226,13a_250,13a_250,K13a250,Fail,N/A,,
3227,13a_251,13a_251,K13a251,Fail,N/A,,
3228,13a_252,13a_252,K13a252,Success,N/A,,1
3229,13a_253,13a_253,K13a253,Fail,N/A,,
3230,13a_254,13a_254,K13a254,Fail,N/A,,
3231,13a_255,13a_255,K13a255,Success,N/A,,1
3232,13a_256,13a_256,K13a256,Fail,N/A,,
3233,13a_257,13a_257,K13a257,Fail,N/A,,
3234,13a_258,13a_258,K13a258,Success,N/A,,1
3235,13a_259,13a_259,K13a259,Success,N/A,,1
3236,13a_260,13a_260,K13a260,Fail,N/A,,
3237,13a_261,13a_261,K13a261,Fail,N/A,,
3238,13a_262,13a_262,K13a262,Success,N/A,,1
3239,13a_263,13a_263,K13a263,Fail,N/A,,
3240,13a_264,13a_264,K13a264,Success,N/A,,1
3241,13a_265,13a_265,K13a265,Fail,N/A,,
3242,13a_266,13a_266,K13a266,Success,N/A,,1
3243,13a_267,13a_267,K13a267,Fail,N/A,,
3244,13a_268,13a_268,K13a268,Fail,N/A,,
3245,13a_269,13a_269,K13a269,Success,N/A,,1
3246,13a_270,13a_270,K13a270,Success,N/A,,1
3247,13a_271,13a_271,K13a271,Fail,N/A,,
3248,13a_272,13a_272,K13a272,Fail,N/A,,
3249,13a_273,13a_273,K13a273,Fail,N/A,,
3250,13a_274,13a_274,K13a274,Fail,N/A,,
3251,13a_275,13a_275,K13a275,Fail,N/A,,
3252,13a_276,13a_276,K13a276,Success,N/A,,1
3253,13a_277,13a_277,K13a277,Success,N/A,,1
3254,13a_278,13a_278,K13a278,Fail,N/A,,
3255,13a_279,13a_279,K13a279,Fail,N/A,,
3256,13a_280,13a_280,K13a280,Success,N/A,,1
3257,13a_281,13a_281,K13a281,Fail,N/A,,
3258,13a_282,13a_282,K13a282,Success,N/A,,1
3259,13a_283,13a_283,K13a283,Success,N/A,,1
3260,13a_284,13a_284,K13a284,Fail,N/A,,
3261,13a_285,13a_285,K13a285,Success,N/A,,1
3262,13a_286,13a_286,K13a286,Fail,N/A,,
3263,13a_287,13a_287,K13a287,Fail,N/A,,
3264,13a_288,13a_288,K13a288,Fail,N/A,,
3265,13a_289,13a_289,K13a289,Success,N/A,,1
3266,13a_290,13a_290,K13a290,Fail,N/A,,
3267,13a_291,13a_291,K13a291,Success,N/A,,1
3268,13a_292,13a_292,K13a292,Success,N/A,,1
3269,13a_293,13a_293,K13a293,Success,N/A,,1
3270,13a_294,13a_294,K13a294,Fail,N/A,,
3271,13a_295,13a_295,K13a295,Fail,N/A,,
3272,13a_296,13a_296,K13a296,Success,N/A,,1
3273,13a_297,13a_297,K13a297,Success,N/A,,1
3274,13a_298,13a_298,K13a298,Fail,N/A,,
3275,13a_299,13a_299,K13a299,Success,N/A,,1
3276,13a_300,13a_300,K13a300,Fail,N/A,,
3277,13a_301,13a_301,K13a301,Fail,N/A,,
3278,13a_302,13a_302,K13a302,Success,N/A,,1
3279,13a_303,13a_303,K13a303,Fail,N/A,,
3280,13a_304,13a_304,K13a304,Fail,N/A,,
3281,13a_305,13a_305,K13a305,Success,N/A,,1
3282,13a_306,13a_306,K13a306,Fail,N/A,,
3283,13a_307,13a_307,K13a307,Fail,N/A,,
3284,13a_308,13a_308,K13a308,Success,N/A,,1
3285,13a_309,13a_309,K13a309,Fail,N/A,,
3286,13a_310,13a_310,K13a310,Success,N/A,,1
3287,13a_311,13a_311,K13a311,Fail,N/A,,
3288,13a_312,13a_312,K13a312,Success,N/A,,1
3289,13a_313,13a_313,K13a313,Fail,N/A,,
3290,13a_314,13a_314,K13a314,Fail,N/A,,
3291,13a_315,13a_315,K13a315,Success,N/A,,1
3292,13a_316,13a_316,K13a316,Fail,N/A,,
3293,13a_317,13a_317,K13a317,Fail,N/A,,
3294,13a_318,13a_318,K13a318,Fail,N/A,,
3295,13a_319,13a_319,K13a319,Fail,N/A,,
